preset,freq_hz,magnitude_db,phase_deg,group_delay_samples
flat,1596.55005,0.000000000,0.000000000,-0.000000000
flat,1618.2793,0.000000000,0.000000000,-0.000000000
flat,1640.30347,0.000000000,0.000000000,-0.000000000
flat,1662.62817,0.000000000,0.000000000,-0.000000000
flat,1685.25671,0.000000000,0.000000000,-0.000000000
flat,1708.1925,0.000000000,0.000000000,-0.000000000
flat,1731.44116,0.000000000,0.000000000,-0.000000000
flat,1755.00549,0.000000000,0.000000000,-0.000000000
flat,1778.89124,0.000000000,0.000000000,-0.000000000
flat,1803.10132,0.000000000,0.000000000,-0.000000000
flat,1827.64172,0.000000000,0.000000000,-0.000000000
flat,1852.51526,0.000000000,0.000000000,-0.000000000
flat,1877.72827,0.000000000,0.000000000,-0.000000000
flat,1903.28345,0.000000000,0.000000000,-0.000000000
flat,1929.18738,0.000000000,0.000000000,-0.000000000
flat,1955.44287,0.000000000,0.000000000,-0.000000000
flat,1982.05676,0.000000000,0.000000000,-0.000000000
flat,2009.03174,0.000000000,0.000000000,-0.000000000
flat,2036.375,0.000000000,0.000000000,-0.000000000
flat,2064.09033,0.000000000,0.000000000,-0.000000000
flat,2092.18188,0.000000000,0.000000000,-0.000000000
flat,2120.65674,0.000000000,0.000000000,-0.000000000
flat,2149.51807,0.000000000,0.000000000,-0.000000000
flat,2178.77319,0.000000000,0.000000000,-0.000000000
flat,2208.42554,0.000000000,0.000000000,-0.000000000
flat,2238.48242,0.000000000,0.000000000,-0.000000000
flat,2268.94727,0.000000000,0.000000000,-0.000000000
flat,2299.82812,0.000000000,0.000000000,-0.000000000
flat,2331.12793,0.000000000,0.000000000,-0.000000000
flat,2362.85474,0.000000000,0.000000000,-0.000000000
flat,2395.01245,0.000000000,0.000000000,-0.000000000
flat,2427.60864,0.000000000,0.000000000,-0.000000000
flat,2460.64868,0.000000000,0.000000000,-0.000000000
flat,2494.13745,0.000000000,0.000000000,-0.000000000
flat,2528.08276,0.000000000,0.000000000,-0.000000000
flat,2562.48901,0.000000000,0.000000000,-0.000000000
flat,2597.36499,0.000000000,0.000000000,-0.000000000
flat,2632.71411,0.000000000,0.000000000,-0.000000000
flat,2668.54565,0.000000000,0.000000000,-0.000000000
flat,2704.86353,0.000000000,0.000000000,-0.000000000
flat,2741.677,0.000000000,0.000000000,-0.000000000
flat,2778.99023,0.000000000,0.000000000,-0.000000000
flat,2816.81274,0.000000000,0.000000000,-0.000000000
flat,2855.14844,0.000000000,0.000000000,-0.000000000
flat,2894.00732,0.000000000,0.000000000,-0.000000000
flat,2933.3938,0.000000000,0.000000000,-0.000000000
flat,2973.31763,0.000000000,0.000000000,-0.000000000
flat,3013.78491,0.000000000,0.000000000,-0.000000000
flat,3054.7998,0.000000000,0.000000000,-0.000000000
flat,3096.37915,0.000000000,0.000000000,-0.000000000
flat,3138.51807,0.000000000,0.000000000,-0.000000000
flat,3181.23364,0.000000000,0.000000000,-0.000000000
flat,3224.53076,0.000000000,0.000000000,-0.000000000
flat,3268.41382,0.000000000,0.000000000,-0.000000000
flat,3312.89746,0.000000000,0.000000000,-0.000000000
flat,3357.98633,0.000000000,0.000000000,-0.000000000
flat,3403.68555,0.000000000,0.000000000,-0.000000000
flat,3450.01343,0.000000000,0.000000000,-0.000000000
flat,3496.96533,0.000000000,0.000000000,-0.000000000
flat,3544.55933,0.000000000,0.000000000,-0.000000000
flat,3592.80127,0.000000000,0.000000000,-0.000000000
flat,3641.69629,0.000000000,0.000000000,-0.000000000
flat,3691.26367,0.000000000,0.000000000,-0.000000000
flat,3741.49854,0.000000000,0.000000000,-0.000000000
flat,3792.4209,0.000000000,0.000000000,-0.000000000
flat,3844.03613,0.000000000,0.000000000,-0.000000000
flat,3896.35034,0.000000000,0.000000000,-0.000000000
flat,3949.38013,0.000000000,0.000000000,-0.000000000
flat,4003.13159,0.000000000,0.000000000,-0.000000000
flat,4057.61084,0.000000000,0.000000000,-0.000000000
flat,4112.83936,0.000000000,0.000000000,-0.000000000
flat,4168.81152,0.000000000,0.000000000,-0.000000000
flat,4225.5498,0.000000000,0.000000000,-0.000000000
flat,4283.06006,0.000000000,0.000000000,-0.000000000
flat,4341.34863,0.000000000,0.000000000,-0.000000000
flat,4400.43896,0.000000000,0.000000000,-0.000000000
flat,4460.3252,0.000000000,0.000000000,-0.000000000
flat,4521.03076,0.000000000,0.000000000,-0.000000000
flat,4582.5625,0.000000000,0.000000000,-0.000000000
flat,4644.92725,0.000000000,0.000000000,-0.000000000
flat,4708.14551,0.000000000,0.000000000,-0.000000000
flat,4772.22412,0.000000000,0.000000000,-0.000000000
flat,4837.16992,0.000000000,0.000000000,-0.000000000
flat,4903.00879,0.000000000,0.000000000,-0.000000000
flat,4969.73486,0.000000000,0.000000000,-0.000000000
flat,5037.37354,0.000000000,0.000000000,-0.000000000
